pipewire-alsa 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-5
pnpm 10.27.0-1
polkit 127-3
polkit-gnome 0.105-12
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 25.12.0-1
poppler-data 0.4.12-2
poppler-glib 25.12.0-1
poppler-qt6 25.12.0-1
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-4
power-profiles-daemon 0.30-1
pps-tools 1.0.3-2
procps-ng 4.0.5-3
protobuf 33.1-1
prrte 3.0.12-1
psmisc 23.7-1
pugixml 1.15-2
purpose 6.21.0-1
python 3.13.11-1
python-aaf2 1.7.1-3
python-anyio 4.12.0-1
python-attrs 25.4.0-1
python-autocommand 2.2.2-7
python-build 1.3.0-1
python-cairo 1.29.0-1
python-certifi 2025.11.12-1
python-cffi 2.0.0-1
python-charset-normalizer 3.4.4-1
python-click 8.2.1-1
python-configargparse 1.5.5-3
python-cryptography 46.0.3-1
python-cssselect 1.3.0-1
python-dbus 1.4.0-1
python-distlib 0.4.0-1
python-distro 1.9.0-3
python-dnspython 1:2.8.0-1
python-docopt 0.6.2-14
python-editables 0.5-5
python-evdev 1.9.2-1
python-fabric-git r220.8633df1-1
